_id,Causa,Causa Classificada,UF ID,Unidade de federação,Sexo,Idade,Ano,Taxa de mortalidade,Número de óbitos,Mortalidade Proporcional,Classificação,top,filtro_1
1650752,Hepatite,086 Hepatite,135,Brasil,Ambos,Todas as idades (padronizado),2010,0.62,0,0,86,,
1650550,Glomerulonefrite aguda,108 Glomerulonefrite aguda,135,Brasil,Ambos,Todas as idades (padronizado),1990,0.18,0,0,108,,
1650655,Câncer de mama,020 Câncer de mama,135,Brasil,Ambos,Todas as idades (padronizado),2000,9.19,0,0,20,,
1650741,Glomerulonefrite aguda,119 Glomerulonefrite aguda,135,Brasil,Ambos,Todas as idades (padronizado),2014,0.03,0,0,119,,
1650782,Apendicite,086 Apendicite,135,Brasil,Ambos,Todas as idades (padronizado),2016,0.66,0,0,86,,
1650800,Cardiomiopatia e miocardite,019 Cardiomiopatia e miocardite,135,Brasil,Ambos,Todas as idades (padronizado),2016,8.31,0,0,19,,
1650936,Out ferimentos não intencionais,061 Out ferimentos não intencionais,135,Brasil,Ambos,Todas as idades (padronizado),2011,1.55,0,0,61,,
1651115,Hemoglobinopatias e anemias hemolíticas,068 Hemoglobinopatias e anemias hemolíticas,135,Brasil,Ambos,Todas as idades (padronizado),1992,1.4,0,0,68,,
1651209,Síndrome de morte súbita infantil,108 Síndrome de morte súbita infantil,135,Brasil,Ambos,Todas as idades (padronizado),1995,0.16,0,0,108,,
1651227,Transtornos vasculares intestinais,056 Transtornos vasculares intestinais,135,Brasil,Ambos,Todas as idades (padronizado),2013,1.72,0,0,56,,
1651322,Epilepsia,075 Epilepsia,135,Brasil,Ambos,Todas as idades (padronizado),1997,1.16,0,0,75,,
1651358,Sarampo,125 Sarampo,135,Brasil,Ambos,Todas as idades (padronizado),2009,0.01,0,0,125,,
1651422,Tétano,115 Tétano,135,Brasil,Ambos,Todas as idades (padronizado),2013,0.05,0,0,115,,
1651467,D renal crônica,012 D renal crônica,135,Brasil,Ambos,Todas as idades (padronizado),2006,15.78,0,0,12,,
1651572,Out ds respiratórias crônicas,092 Out ds respiratórias crônicas,135,Brasil,Ambos,Todas as idades (padronizado),1990,0.58,0,0,92,,
1651784,Corpo estranho,049 Corpo estranho,135,Brasil,Ambos,Todas as idades (padronizado),2014,2.24,0,0,49,,
1651818,Out ds respiratórias crônicas,086 Out ds respiratórias crônicas,135,Brasil,Ambos,Todas as idades (padronizado),2008,0.62,0,0,86,,
1651979,Asma,059 Asma,135,Brasil,Ambos,Todas as idades (padronizado),2010,1.59,0,0,59,,
1652166,Zika virus,131 Zika virus,135,Brasil,Ambos,Todas as idades (padronizado),1991,0,0,0,131,,
1652205,Outro câncer da faringe,065 Outro câncer da faringe,135,Brasil,Ambos,Todas as idades (padronizado),1992,1.65,0,0,65,,
1652233,Raiva,124 Raiva,135,Brasil,Ambos,Todas as idades (padronizado),1997,0.02,0,0,124,,
1652234,Out ds cardiovasculares e circulatórias,022 Out ds cardiovasculares e circulatórias,135,Brasil,Ambos,Todas as idades (padronizado),2017,6.66,0,0,22,,
1652291,Doenças do aparelho digestivo alto,036 Doenças do aparelho digestivo alto,135,Brasil,Ambos,Todas as idades (padronizado),1999,4.48,0,0,36,,
1652589,Out ds infecciosas,081 Out ds infecciosas,135,Brasil,Ambos,Todas as idades (padronizado),2008,0.76,0,0,81,,
1652672,Diabetes mellitus,007 Diabetes mellitus,135,Brasil,Ambos,Todas as idades (padronizado),2014,25.46,0,0,7,1,20141
1652717,Câncer de útero,073 Câncer de útero,135,Brasil,Ambos,Todas as idades (padronizado),2009,1.14,0,0,73,,
1652786,Câncer de bexiga,049 Câncer de bexiga,135,Brasil,Ambos,Todas as idades (padronizado),1990,2.61,0,0,49,,
1652883,Aneurisma da aorta,040 Aneurisma da aorta,135,Brasil,Ambos,Todas as idades (padronizado),1991,4.12,0,0,40,,
1652922,Câncer de Laringe,049 Câncer de Laringe,135,Brasil,Ambos,Todas as idades (padronizado),1998,2.59,0,0,49,,
1653000,Esquistossomose,098 Esquistossomose,135,Brasil,Ambos,Todas as idades (padronizado),2015,0.24,0,0,98,,
1653005,Câncer de pele não melanoma,069 Câncer de pele não melanoma,135,Brasil,Ambos,Todas as idades (padronizado),2013,1.26,0,0,69,,
1662587,Sarampo,124 Sarampo,135,Brasil,Ambos,Todas as idades (padronizado),2011,0.01,0,0,124,,
1653082,Apendicite,087 Apendicite,135,Brasil,Ambos,Todas as idades (padronizado),1991,0.73,0,0,87,,
1653260,Out ds infecciosas intestinais,122 Out ds infecciosas intestinais,135,Brasil,Ambos,Todas as idades (padronizado),2011,0.01,0,0,122,,
1653263,Infecções por nematóides intestinais,122 Infecções por nematóides intestinais,135,Brasil,Ambos,Todas as idades (padronizado),1992,0.05,0,0,122,,
1653268,Out ds cardiovasculares e circulatórias,020 Out ds cardiovasculares e circulatórias,135,Brasil,Ambos,Todas as idades (padronizado),1992,8.94,0,0,20,,
1653368,Ebola,128 Ebola,135,Brasil,Ambos,Todas as idades (padronizado),2015,0,0,0,128,,
1653486,Out ds cardiovasculares e circulatórias,022 Out ds cardiovasculares e circulatórias,135,Brasil,Ambos,Todas as idades (padronizado),2016,6.66,0,0,22,,
1653643,Contato com animais,096 Contato com animais,135,Brasil,Ambos,Todas as idades (padronizado),2004,0.33,0,0,96,,
1653750,Distúrbios alimentares,131 Distúrbios alimentares,135,Brasil,Ambos,Todas as idades (padronizado),2001,0,0,0,131,,
1653793,Exposição a forças mecânicas,065 Exposição a forças mecânicas,135,Brasil,Ambos,Todas as idades (padronizado),2004,1.49,0,0,65,,
1653823,D cardíaca valvular não reumática,065 D cardíaca valvular não reumática,135,Brasil,Ambos,Todas as idades (padronizado),1997,1.59,0,0,65,,
1653873,Varicela e herpes zoster,104 Varicela e herpes zoster,135,Brasil,Ambos,Todas as idades (padronizado),2003,0.18,0,0,104,,
1654011,Aneurisma da aorta,040 Aneurisma da aorta,135,Brasil,Ambos,Todas as idades (padronizado),1990,4.09,0,0,40,,
1654022,Câncer de lábio e cavidade oral,052 Câncer de lábio e cavidade oral,135,Brasil,Ambos,Todas as idades (padronizado),1992,2.45,0,0,52,,
1654064,Out ds infecciosas intestinais,122 Out ds infecciosas intestinais,135,Brasil,Ambos,Todas as idades (padronizado),2002,0.02,0,0,122,,
1654071,Ds diarreicas,009 Ds diarreicas,135,Brasil,Ambos,Todas as idades (padronizado),1991,27.48,0,0,9,1,19911
1654340,Síndrome de morte súbita infantil,107 Síndrome de morte súbita infantil,135,Brasil,Ambos,Todas as idades (padronizado),1997,0.17,0,0,107,,
1654448,Tétano,086 Tétano,135,Brasil,Ambos,Todas as idades (padronizado),1992,0.73,0,0,86,,
1654452,Ds diarreicas,014 Ds diarreicas,135,Brasil,Ambos,Todas as idades (padronizado),1998,14.88,0,0,14,,
1654593,Out transtornos neurológicos,083 Out transtornos neurológicos,135,Brasil,Ambos,Todas as idades (padronizado),2011,0.76,0,0,83,,
1654838,Transtornos vasculares intestinais,053 Transtornos vasculares intestinais,135,Brasil,Ambos,Todas as idades (padronizado),2000,2.17,0,0,53,,
1654859,Infeções de vias aéreas superiores,110 Infeções de vias aéreas superiores,135,Brasil,Ambos,Todas as idades (padronizado),1992,0.15,0,0,110,,
1654863,Quedas,022 Quedas,135,Brasil,Ambos,Todas as idades (padronizado),1992,8.6,0,0,22,,
1654918,Malária,118 Malária,135,Brasil,Ambos,Todas as idades (padronizado),2011,0.04,0,0,118,,
1654945,Transtornos vasculares intestinais,055 Transtornos vasculares intestinais,135,Brasil,Ambos,Todas as idades (padronizado),2010,1.83,0,0,55,,
1654948,Câncer de próstata,018 Câncer de próstata,135,Brasil,Ambos,Todas as idades (padronizado),2000,10.41,0,0,18,,
1655031,Out transtornos neurológicos,082 Out transtornos neurológicos,135,Brasil,Ambos,Todas as idades (padronizado),2009,0.73,0,0,82,,
1655065,Hepatite,090 Hepatite,135,Brasil,Ambos,Todas as idades (padronizado),2014,0.48,0,0,90,,
1655186,Conflict and terrorism,131 Conflict and terrorism,135,Brasil,Ambos,Todas as idades (padronizado),1998,0,0,0,131,,
1655215,Pancreatite,062 Pancreatite,135,Brasil,Ambos,Todas as idades (padronizado),1990,1.99,0,0,62,,
1655262,Conflict and terrorism,123 Conflict and terrorism,135,Brasil,Ambos,Todas as idades (padronizado),1994,0.02,0,0,123,,
1655273,Epilepsia,073 Epilepsia,135,Brasil,Ambos,Todas as idades (padronizado),2008,1.15,0,0,73,,
1655490,Alzheimer e outras demências,005 Alzheimer e outras demências,135,Brasil,Ambos,Todas as idades (padronizado),2000,37.37,0,0,5,1,20001
1655530,Melanoma maligno da pele,076 Melanoma maligno da pele,135,Brasil,Ambos,Todas as idades (padronizado),2008,0.98,0,0,76,,
1655697,Linfoma não Hodgkin,042 Linfoma não Hodgkin,135,Brasil,Ambos,Todas as idades (padronizado),2003,3.18,0,0,42,,
1655803,D cardíaca hipertensiva,013 D cardíaca hipertensiva,135,Brasil,Ambos,Todas as idades (padronizado),2006,12.65,0,0,13,,
1655818,Salmonella não tifoide invasiva (iNTS),104 Salmonella não tifoide invasiva (iNTS),135,Brasil,Ambos,Todas as idades (padronizado),1990,0.21,0,0,104,,
1655889,Tuberculose,030 Tuberculose,135,Brasil,Ambos,Todas as idades (padronizado),2002,4.81,0,0,30,,
1656165,Doenças do aparelho digestivo alto,040 Doenças do aparelho digestivo alto,135,Brasil,Ambos,Todas as idades (padronizado),2001,4.03,0,0,40,,
1656208,Raiva,131 Raiva,135,Brasil,Ambos,Todas as idades (padronizado),2008,0,0,0,131,,
1656231,Out ds infecciosas intestinais,120 Out ds infecciosas intestinais,135,Brasil,Ambos,Todas as idades (padronizado),1994,0.03,0,0,120,,
1656286,Out ds infecciosas,083 Out ds infecciosas,135,Brasil,Ambos,Todas as idades (padronizado),2017,0.73,0,0,83,,
1656338,D isquêmica do coração,001 D isquêmica do coração,135,Brasil,Ambos,Todas as idades (padronizado),2015,79.81,0,0,1,1,20151
1656402,"Câncer de traq, brônq pulmão","012 Câncer de traq, brônq pulmão",135,Brasil,Ambos,Todas as idades (padronizado),2015,14.49,0,0,12,,
1656445,Transtornos vasculares intestinais,058 Transtornos vasculares intestinais,135,Brasil,Ambos,Todas as idades (padronizado),2017,1.72,0,0,58,,
1656595,Afogamento,040 Afogamento,135,Brasil,Ambos,Todas as idades (padronizado),2017,2.99,0,0,40,,
1656666,Câncer de próstata,018 Câncer de próstata,135,Brasil,Ambos,Todas as idades (padronizado),1997,10,0,0,18,,
1656686,Out ds infecciosas,081 Out ds infecciosas,135,Brasil,Ambos,Todas as idades (padronizado),1990,0.97,0,0,81,,
1656770,D isquêmica do coração,001 D isquêmica do coração,135,Brasil,Ambos,Todas as idades (padronizado),2014,80.89,0,0,1,1,20141
1656890,Fibrilação e flutter atrial,032 Fibrilação e flutter atrial,135,Brasil,Ambos,Todas as idades (padronizado),2010,4.53,0,0,32,,
1656944,Out ds tropicais negligenciadas,118 Out ds tropicais negligenciadas,135,Brasil,Ambos,Todas as idades (padronizado),1990,0.1,0,0,118,,
1657023,Úlcera de decúbito,085 Úlcera de decúbito,135,Brasil,Ambos,Todas as idades (padronizado),2016,0.68,0,0,85,,
1657033,Transtornos relacionados ao uso de álcool,042 Transtornos relacionados ao uso de álcool,135,Brasil,Ambos,Todas as idades (padronizado),1991,3.69,0,0,42,,
1657132,Transtornos do período neonatal,009 Transtornos do período neonatal,135,Brasil,Ambos,Todas as idades (padronizado),2007,23.11,0,0,9,1,20071
1657507,Artrite reumatoide,101 Artrite reumatoide,135,Brasil,Ambos,Todas as idades (padronizado),1999,0.25,0,0,101,,
1657324,Linfoma de Hodgkin,094 Linfoma de Hodgkin,135,Brasil,Ambos,Todas as idades (padronizado),2014,0.33,0,0,94,,
1657480,Glomerulonefrite aguda,119 Glomerulonefrite aguda,135,Brasil,Ambos,Todas as idades (padronizado),2006,0.04,0,0,119,,
1657492,D cardíaca valvular não reumática,058 D cardíaca valvular não reumática,135,Brasil,Ambos,Todas as idades (padronizado),2006,1.69,0,0,58,,
1657550,Cólon e câncer de reto,021 Cólon e câncer de reto,135,Brasil,Ambos,Todas as idades (padronizado),1993,9.2,0,0,21,,
1657694,Glomerulonefrite aguda,118 Glomerulonefrite aguda,135,Brasil,Ambos,Todas as idades (padronizado),2008,0.04,0,0,118,,
1657710,Cirrose e outras ds hepáticas crônicas,011 Cirrose e outras ds hepáticas crônicas,135,Brasil,Ambos,Todas as idades (padronizado),1993,21.38,0,0,11,,
1657748,Out deficiências nutricionais,095 Out deficiências nutricionais,135,Brasil,Ambos,Todas as idades (padronizado),2016,0.3,0,0,95,,
1657753,Câncer de nasofaringe,102 Câncer de nasofaringe,135,Brasil,Ambos,Todas as idades (padronizado),1994,0.23,0,0,102,,
1657772,D reumática cardíaca,063 D reumática cardíaca,135,Brasil,Ambos,Todas as idades (padronizado),2010,1.51,0,0,63,,
1658111,Otite média,121 Otite média,135,Brasil,Ambos,Todas as idades (padronizado),2008,0.01,0,0,121,,
1658167,D cardíaca hipertensiva,013 D cardíaca hipertensiva,135,Brasil,Ambos,Todas as idades (padronizado),2017,10.65,0,0,13,,
1658215,D isquêmica do coração,001 D isquêmica do coração,135,Brasil,Ambos,Todas as idades (padronizado),1999,119.87,0,0,1,1,19991
1658357,Síndrome de morte súbita infantil,107 Síndrome de morte súbita infantil,135,Brasil,Ambos,Todas as idades (padronizado),2014,0.15,0,0,107,,
1658379,Encefalite,101 Encefalite,135,Brasil,Ambos,Todas as idades (padronizado),2004,0.24,0,0,101,,
1658406,Outras neoplasias malignas,027 Outras neoplasias malignas,135,Brasil,Ambos,Todas as idades (padronizado),2011,5.02,0,0,27,,
1658461,Artrite reumatoide,099 Artrite reumatoide,135,Brasil,Ambos,Todas as idades (padronizado),2003,0.26,0,0,99,,
1658574,Pancreatite,054 Pancreatite,135,Brasil,Ambos,Todas as idades (padronizado),2016,2.13,0,0,54,,
1658610,Out transtornos neurológicos,086 Out transtornos neurológicos,135,Brasil,Ambos,Todas as idades (padronizado),2003,0.66,0,0,86,,
1658665,Out ds da pele e tecidos subcutâneos,110 Out ds da pele e tecidos subcutâneos,135,Brasil,Ambos,Todas as idades (padronizado),2004,0.11,0,0,110,,
1658673,Câncer de próstata,018 Câncer de próstata,135,Brasil,Ambos,Todas as idades (padronizado),1998,10.16,0,0,18,,
1658676,Câncer de pâncreas,034 Câncer de pâncreas,135,Brasil,Ambos,Todas as idades (padronizado),1994,5.07,0,0,34,,
1658709,D inflamatória intestinal,091 D inflamatória intestinal,135,Brasil,Ambos,Todas as idades (padronizado),2005,0.44,0,0,91,,
1658738,HIV/AIDS,018 HIV/AIDS,135,Brasil,Ambos,Todas as idades (padronizado),1994,10.55,0,0,18,,
1658810,Ds urinárias e infertilidade masculina,018 Ds urinárias e infertilidade masculina,135,Brasil,Ambos,Todas as idades (padronizado),2016,8.84,0,0,18,,
1658880,Endocardite,068 Endocardite,135,Brasil,Ambos,Todas as idades (padronizado),2007,1.25,0,0,68,,
1658951,Tripanossomíase Africana,133 Tripanossomíase Africana,135,Brasil,Ambos,Todas as idades (padronizado),2004,0,0,0,133,,
1658976,Distúrbios alimentares,132 Distúrbios alimentares,135,Brasil,Ambos,Todas as idades (padronizado),2004,0,0,0,132,,
1659004,Doenças de pele bacterianas,062 Doenças de pele bacterianas,135,Brasil,Ambos,Todas as idades (padronizado),2003,1.67,0,0,62,,
1659209,Síndrome de morte súbita infantil,106 Síndrome de morte súbita infantil,135,Brasil,Ambos,Todas as idades (padronizado),2003,0.15,0,0,106,,
